- Size,Product URL,- Style,Product Name,Price,Description,- Color,- Material
"Large, Medium, Small",https://steppingedge-theme-prototype-1.myshopify.com/products/zipped-jacket,,Zipped Jacket,65.00,Dark navy and light blue men's zipped waterproof jacket with an outer zipped chestpocket for easy storeage.,,
,https://steppingedge-theme-prototype-1.myshopify.com/products/striped-silk-blouse,,Striped Silk Blouse,50.00,Ultra-stylish black and red striped silk blouse with buckle collar and matching button pants.,,
,https://steppingedge-theme-prototype-1.myshopify.com/products/red-sports-tee,,Red Sports Tee,50.00,Women's red sporty t-shirt with colorful details on the sleeves and a small white pocket.,,
,https://steppingedge-theme-prototype-1.myshopify.com/products/navy-sport-jacket,,Navy Sports Jacket,60.00,"Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.",,
,https://steppingedge-theme-prototype-1.myshopify.com/products/white-cotton-shirt,,White Cotton Shirt,30.00,Plain white cotton long sleeved shirt with loose collar. Small buttons and front pocket.,,
,https://steppingedge-theme-prototype-1.myshopify.com/products/dark-winter-jacket,,Soft Winter Jacket,50.00,"Thick black winter jacket, with soft fleece lining. Perfect for those cold weather days.",,
,https://steppingedge-theme-prototype-1.myshopify.com/products/silk-summer-top,,Silk Summer Top,70.00,Silk womens top with short sleeves and number pattern.,,
,https://steppingedge-theme-prototype-1.myshopify.com/products/dark-denim-top,,Dark Denim Top,60.00,"Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect.",,
,https://steppingedge-theme-prototype-1.myshopify.com/products/longsleeve-cotton-top,,Long Sleeve Cotton Top,50.00,"Black cotton womens top, with long sleeves, no collar and a thick hem.",,
,https://steppingedge-theme-prototype-1.myshopify.com/products/yellow-wool-jumper,,Yellow Wool Jumper,80.00,Knitted jumper in a soft wool blend with low dropped shoulders and wide sleeves and think cuffs. Perfect for keeping warm during Fall.,,
"Small, Medium, Large",https://steppingedge-theme-prototype-1.myshopify.com/products/classic-varsity-top,"Boy, Girl, Kids",Classic Varsity Top,60.00,"Womens casual varsity top, This grey and black buttoned top is a sport-inspired piece complete with an embroidered letter.",,
,https://steppingedge-theme-prototype-1.myshopify.com/products/striped-skirt-and-top,,Striped Skirt and Top,50.00,Black cotton top with matching striped skirt.,,
,https://steppingedge-theme-prototype-1.myshopify.com/products/copy-of-chequered-red-shirt,,Copy of Chequered Red Shirt,50.00,"Classic mens plaid flannel shirt with long sleeves, in chequered style, with two chest pockets.",,
"XS, M, L",https://steppingedge-theme-prototype-1.myshopify.com/products/men-grey-pullover,,Men Gray Pullover,300.00,"Create the best impression on your interviewer or maybe your date with this pair of leather shoes. It has durability, breathability, comfort, water-resistance and not to forget, style. Get a pair of stylish leather shoes today only","White, Black","Cotton, Mix Cotton"
,https://steppingedge-theme-prototype-1.myshopify.com/products/classic-leather-jacket,,Classic Leather Jacket,80.00,"Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket.",,
,https://steppingedge-theme-prototype-1.myshopify.com/products/ocean-blue-shirt,,Ocean Blue Shirt,50.00,Ocean blue cotton shirt with a narrow collar and buttons down the front and long sleeves. Comfortable fit and tiled kalidoscope patterns.,,
,https://steppingedge-theme-prototype-1.myshopify.com/products/olive-green-jacket,,Olive Green Jacket,65.00,Loose fitting olive green jacket with buttons and large pockets. Multicoloured pattern on the front of the shoulders.,,
,https://steppingedge-theme-prototype-1.myshopify.com/products/floral-white-top,,Floral White Top,75.00,Stylish sleeveless white top with a floral pattern.,,
,https://steppingedge-theme-prototype-1.myshopify.com/products/led-high-tops,,LED High Tops,80.00,"Black high top shoes with green LED lights in the sole, tied up with laces and a buckle.",,
